0;101_CT_1
1;102_CT_1
2;107_CC_1
3;115_STEAM_1
4;116_STEAM_1
5;118_CC_1
6;123_STEAM_2
7;201_CT_1
8;202_CT_1
9;207_CT_1
10;213_CC_3
11;215_CT_4
12;216_STEAM_1
13;218_CC_1
14;221_CC_1
15;223_STEAM_1
16;301_CT_1
17;302_CT_1
18;307_CT_1
19;313_CC_1
20;315_STEAM_1
21;316_STEAM_1
22;318_CC_1
23;321_CC_1
24;322_CT_5
25;323_CC_1
26;121_NUCLEAR_1
27;122_HYDRO_1
28;222_HYDRO_1
29;314_PV_1
30;113_CT_1
31;101_CT_2
32;101_STEAM_3
33;101_STEAM_4
34;102_CT_2
35;102_STEAM_3
36;102_STEAM_4
37;113_CT_2
38;113_CT_3
39;113_CT_4
40;115_STEAM_2
41;115_STEAM_3
42;123_STEAM_3
43;123_CT_1
44;123_CT_4
45;123_CT_5
46;201_CT_2
47;201_STEAM_3
48;202_CT_2
49;202_STEAM_3
50;202_STEAM_4
51;207_CT_2
52;213_CT_1
53;213_CT_2
54;215_CT_5
55;223_STEAM_2
56;223_STEAM_3
57;223_CT_4
58;223_CT_5
59;223_CT_6
60;301_CT_2
61;301_CT_3
62;301_CT_4
63;302_CT_2
64;302_CT_3
65;302_CT_4
66;307_CT_2
67;315_STEAM_2
68;315_STEAM_3
69;315_STEAM_4
70;315_STEAM_5
71;315_CT_6
72;315_CT_7
73;315_CT_8
74;322_CT_6
75;323_CC_2
76;122_HYDRO_2
77;122_HYDRO_3
78;122_HYDRO_4
79;122_HYDRO_5
80;122_HYDRO_6
81;201_HYDRO_4
82;215_HYDRO_1
83;215_HYDRO_2
84;215_HYDRO_3
85;222_HYDRO_2
86;222_HYDRO_3
87;222_HYDRO_4
88;222_HYDRO_5
89;222_HYDRO_6
90;322_HYDRO_1
91;322_HYDRO_2
92;322_HYDRO_3
93;322_HYDRO_4
94;320_PV_1
95;314_PV_2
96;313_PV_1
97;314_PV_3
98;314_PV_4
99;313_PV_2
100;310_PV_1
101;324_PV_1
102;312_PV_1
103;310_PV_2
104;324_PV_2
105;324_PV_3
106;113_PV_1
107;319_PV_1
108;215_PV_1
109;102_PV_1
110;101_PV_1
111;102_PV_2
112;104_PV_1
113;212_CSP_1
114;101_PV_2
115;101_PV_3
116;101_PV_4
117;103_PV_1
118;119_PV_1
119;308_RTPV_1
120;313_RTPV_1
121;313_RTPV_2
122;313_RTPV_3
123;313_RTPV_4
124;313_RTPV_5
125;313_RTPV_6
126;313_RTPV_7
127;313_RTPV_8
128;313_RTPV_9
129;313_RTPV_10
130;313_RTPV_11
131;313_RTPV_12
132;320_RTPV_1
133;320_RTPV_2
134;320_RTPV_3
135;313_RTPV_13
136;320_RTPV_4
137;320_RTPV_5
138;118_RTPV_1
139;118_RTPV_2
140;118_RTPV_3
141;118_RTPV_4
142;118_RTPV_5
143;118_RTPV_6
144;320_RTPV_6
145;118_RTPV_7
146;118_RTPV_8
147;118_RTPV_9
148;118_RTPV_10
149;213_RTPV_1
150;309_WIND_1
151;317_WIND_1
152;303_WIND_1
153;122_WIND_1
